label,type,subtype,item,condition,group,sentence,alternative
rc_a_1,rc,RCs_SPR_ET,1,a,list0,那个 昨晚 揍了 服务生 一顿 的 顾客 听说过 老板 并且 记得 他。,X-X-X 毁灭 茫茫 象征性 痉挛 种 繁荣 二十四 开拓 构成 层次 种。
rc_b_1,rc,RCs_SPR_ET,1,b,list1,那个 昨晚 服务生 揍了 一顿 的 顾客 听说过 老板 并且 记得 他。,X-X-X 毁灭 单位制 茫茫 痉挛 种 繁荣 二十四 开拓 矛盾 层次 种。
rc_c_1,rc,RCs_SPR_ET,1,c,list2,老板 听说过 那个 昨晚 揍了 服务生 一顿 的 顾客 并且 通知了 记者。,X-X-X 徐悲鸿 矛盾 毁灭 钥匙 赤裸裸 敦煌 种 繁荣 阶段 氯酸钾 缺乏。
rc_d_1,rc,RCs_SPR_ET,1,d,list3,老板 听说过 那个 昨晚 服务生 揍了 一顿 的 顾客 并且 通知了 记者。,X-X-X 徐悲鸿 矛盾 毁灭 赤裸裸 钥匙 敦煌 种 繁荣 阶段 氯酸钾 缺乏。
rc_a_2,rc,RCs_SPR_ET,2,a,list1,那辆 下午 追了 摩托车 很久 的 轿车 发现了 记者 所以 停了 下来。,X-X-X 欣赏 蘑菇 笑嘻嘻 滋味 种 扣除 碳酸钠 缺乏 研究 萝卜 环境。
rc_b_2,rc,RCs_SPR_ET,2,b,list2,那辆 下午 摩托车 追了 很久 的 轿车 发现了 记者 所以 停了 下来。,X-X-X 原料 笑嘻嘻 蘑菇 滋味 种 扣除 碳酸钠 政权 研究 萝卜 环境。
rc_c_2,rc,RCs_SPR_ET,2,c,list3,记者 发现了 那辆 下午 追了 摩托车 很久 的 轿车 所以 停了 下来。,X-X-X 石灰岩 脊髓 欣赏 魔鬼 笑嘻嘻 滋味 种 严谨 研究 骨髓 环境。
rc_d_2,rc,RCs_SPR_ET,2,d,list0,记者 发现了 那辆 下午 摩托车 追了 很久 的 轿车 所以 停了 下来。,X-X-X 石灰岩 脊髓 欣赏 笑嘻嘻 魔鬼 滋味 种 严谨 研究 骨髓 环境。
rc_a_3,rc,RCs_SPR_ET,3,a,list2,那个 今天 打了 男孩 几次 的 女孩 看到了 校长 所以 假装 在读书。,X-X-X 因而 浙江 盼望 贫乏 种 贮藏 碳酸钙 仅仅 研究 淤泥 脂肪酸。
rc_b_3,rc,RCs_SPR_ET,3,b,list3,那个 今天 男孩 打了 几次 的 女孩 看到了 校长 所以 假装 在读书。,X-X-X 十分 所致 浙江 贫乏 位 贮藏 碳酸钙 仅仅 研究 淤泥 脂肪酸。
