label,type,subtype,item,condition,group,sentence,alternative
orc_1,warmup,warmup,901,warmup,,教授 可以 想像 那个 上周 助教 责怪 多次 的 学生 恨透了 考试。,X-X-X 意义 表象 圈儿 过重 得当 花芽 流通 位 农业 洋铁桶 变法。
orc_2,warmup,warmup,902,warmup,,那位 星期天 雇主 陷害了 几次 的 劳工 拜访了 贵宾 而且 一起 吃饭。,X-X-X 氯化钠 递增 椭圆形 忽而 位 粘膜 牛全德 花芽 基础 以北 贺诚。
orc_3,warmup,warmup,903,warmup,,新闻 报导 那位 作家 爱慕 许久 的 演员 喜欢 唱歌 和 跳舞。,X-X-X 粘膜 似地 分之 灯丝 电量 条 巩固 制定 失调 区 谓语。
src_1,warmup,warmup,904,warmup,,报导 宣称 那名 跟踪 侦探 多日 的 警官 抓住了 歹徒 并且 送到 警局。,X-X-X 台阶 通入 径流 谓语 熔点 呀 栽植 受精卵 忽听 广大 幼虫 负电。
other_1,warmup,warmup,905,warmup,,昨天 早上 冯奶奶 买了 许多 白菜 并且 腌了 泡菜 给 孙子。,X-X-X 导线 碳酸钙 外延 斗争 突起 时期 反党 共性 部 实则。
other_2,warmup,warmup,906,warmup,,被 摩天 大楼 簇拥 的 中央公园 是 纽约 最具 代表 的 景点 之一。,X-X-X 圈儿 水温 测得 话 教学计划 党 拉住 忽听 又是 呀 激化 战栗。
other_3,warmup,warmup,907,warmup,,位于 巴黎 的 奥塞 美术馆 收藏 了 非常多 印象派 的 艺术 作品。,X-X-X 无疑 呀 丢下 林明跃 似地 呀 肖武斌 受精卵 呀 实行 出兵。
other_4,warmup,warmup,908,warmup,,生成式 人工 智能 可以 通过 算法 来 生成 图像 文字 和 视频。,X-X-X 屋里 多久 一点 扇子 摇动 坝 戏曲 以北 反动 头 营房。
other_5,warmup,warmup,909,warmup,,珍珠 奶茶 的 热潮 从 亚洲 蔓延 到 西方 许多 大城市 都有 奶茶店。,X-X-X 敌后 者 病员 写 不利 看书 写 生成 点击 林明跃 谓语 黎小玲。
other_6,warmup,warmup,910,warmup,,这个 系统 收集了 有关 消费 趋势 搜索 和 点击 次数 的 数据。,X-X-X 似地 高占武 以北 看出 相等 舞姿 呀 誉为 房里 呀 拿过。
other_7,warmup,warmup,911,warmup,,上海 的 小笼馒头 皮薄 馅大 汁多 形美 是 游客 必吃 的 美味。,X-X-X 了 拨乱反正 舞姿 执政 遗迹 审批 党 审批 负电 叫 检修。
other_8,warmup,warmup,912,warmup,,对于 两支 实力 接近 的 球队 比赛 来说 输赢 往往 都在 毫厘之间。,X-X-X 似地 圈儿 四十 呀 忽听 剥削 谓语 门边 阶级 筹建 北洋军阀。
